"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 03 06:47:02 GMT 2024","Mon Jun 03 06:47:44 GMT 2024","42675","UI Suite","UI Test","com.example.teamcity.ui.tests.CreateNewProjectTest","com.example.teamcity.ui.tests.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"failed","Mon Jun 03 06:46:54 GMT 2024","Mon Jun 03 06:46:55 GMT 2024","1500","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigurationTest","Создание нормальной конфигурации сборки",""
"passed","Mon Jun 03 06:47:00 GMT 2024","Mon Jun 03 06:47:00 GMT 2024","224","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectTestWithDifferentUserRoles","Создание нового проекта с корректными данными c разными ролями пользователя",""
"passed","Mon Jun 03 06:46:57 GMT 2024","Mon Jun 03 06:46:57 GMT 2024","153","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithEmptyNameFieldTest","Создание конфигурации сборки с некорректными данными (empty name field)",""
"passed","Mon Jun 03 06:47:00 GMT 2024","Mon Jun 03 06:47:00 GMT 2024","217","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectTest","Создание нового проекта с корректными данными",""
"failed","Mon Jun 03 06:48:23 GMT 2024","Mon Jun 03 06:48:53 GMT 2024","30193","UI Suite","UI Test","com.example.teamcity.ui.tests.BuildConfigurationTest","com.example.teamcity.ui.tests.BuildConfigurationTest","createBuildConfigurationByAuthUser","createBuildConfigurationByAuthUser",""
"passed","Mon Jun 03 06:44:42 GMT 2024","Mon Jun 03 06:45:39 GMT 2024","56862","Surefire suite","Surefire test","com.example.teamcity.ui.tests.SetupTest","com.example.teamcity.ui.tests.SetupTest","startUpTest","startUpTest",""
"passed","Mon Jun 03 06:47:00 GMT 2024","Mon Jun 03 06:47:01 GMT 2024","175","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectTestWithDifferentUserRoles","Создание нового проекта с корректными данными c разными ролями пользователя",""
"passed","Mon Jun 03 06:46:56 GMT 2024","Mon Jun 03 06:46:57 GMT 2024","1301","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationThatDuplicatesAnExistingName","Создание конфигурации сборки с дублированием существующего имени",""
"passed","Mon Jun 03 06:46:59 GMT 2024","Mon Jun 03 06:46:59 GMT 2024","154","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectByUnAuthUserTest","Отклонение создания проекта без аутентификации",""
"passed","Mon Jun 03 06:48:53 GMT 2024","Mon Jun 03 06:49:03 GMT 2024","9612","UI Suite","UI Test","com.example.teamcity.ui.tests.BuildConfigurationTest","com.example.teamcity.ui.tests.BuildConfigurationTest","createBuildConfigurationManuallyByAuthUser","createBuildConfigurationManuallyByAuthUser",""
"passed","Mon Jun 03 06:46:58 GMT 2024","Mon Jun 03 06:46:59 GMT 2024","1387","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createChildProject","Создание проекта с зависимостями",""
"passed","Mon Jun 03 06:46:55 GMT 2024","Mon Jun 03 06:46:55 GMT 2024","49","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationSpecifyingANonExistentProject","Создание конфигурации сборки с указанием несуществующего проекта",""
"failed","Mon Jun 03 06:47:53 GMT 2024","Mon Jun 03 06:48:22 GMT 2024","28809","UI Suite","UI Test","com.example.teamcity.ui.tests.BuildConfigurationTest","com.example.teamcity.ui.tests.BuildConfigurationTest","createBuildConfigWithEmptyName","createBuildConfigWithEmptyName",""
"passed","Mon Jun 03 06:47:45 GMT 2024","Mon Jun 03 06:47:52 GMT 2024","7098","UI Suite","UI Test","com.example.teamcity.ui.tests.CreateNewProjectTest","com.example.teamcity.ui.tests.CreateNewProjectTest","createProjectWithEmptyName","createProjectWithEmptyName",""
"passed","Mon Jun 03 06:47:01 GMT 2024","Mon Jun 03 06:47:01 GMT 2024","186","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectTestWithDifferentUserRoles","Создание нового проекта с корректными данными c разными ролями пользователя",""
"passed","Mon Jun 03 06:47:01 GMT 2024","Mon Jun 03 06:47:01 GMT 2024","77","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectWithEmptyNameFieldTest","Отклонение создания проекта с некорректными данными (project_name field is empty)",""
"passed","Mon Jun 03 06:47:01 GMT 2024","Mon Jun 03 06:47:01 GMT 2024","246","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","createProjectTestWithDifferentUserRoles","Создание нового проекта с корректными данными c разными ролями пользователя",""
"passed","Mon Jun 03 06:46:57 GMT 2024","Mon Jun 03 06:46:58 GMT 2024","94","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","creatingBuildConfigurationWithoutAuthentication","Создание конфигурации сборки без аутентификации",""
